$0000|それは，あめのふる あさ，
$0001|われわれが，おちゃの じかんを |
$0002|たのしんでいる ときだった···
$0003|[WAIT]とおりに ばしゃの とまるおとが きこえ， まもなく タアの よびりんが [WAIT]ほうもんしゃの いることを つげた···
$0004|ホ－ムズさん どうぞ あなたの ちからを かして ください。 [WAIT]じつは せんじつ わたしのあにの がろうで えが ぬすまれました。 それで ぜひ あなたに とりもどして もらいたいのです。
$0005|ぬすまれたのは ニ－ル·エバンスの さくひんで 「あかい ぼうしの しょうじょ」 という タイトルの ものです。
$0006|がろうは クレイズ·ギャラリ－と いいます。
$0007|エバンスは 「あかい ぼうしの しょうじょ」 で せけんに みとめられ， [WAIT]いまは しょうぞうがか として ひょうばんを えています。
$0008|わたしが しっているのは そこまで です。 あとは なにとぞ よろしく。
$0009|ホ－ムズ! ほかに きいておく ことは ないのかい?
$000A|それは バイオリンだ。 きみの うでまえは，たいしたもの だからねえ·· いや，ほんとに。
$000B|おかねを しまって おいたんだっけ。
$000C|ふえを しまって おいたんだっけ。
$000D|パイプがある。 おかしなところに しまいこみなあ。
$000E|きみのピストルは ウエブリ－ だったね。
$000F|それは ステッキだ。
$0010|それは ランプだ。
$0011|もう なにも はいっていない。
$0012|ニ－ル·エバンスの めいさくてんが ひらかれる。 クレイズ·ギャラリ－にて。 [WAIT]「あかい ぼうしの しょうじょ」 のほか，ラグランタはくしゃく， マタム·カトリ－ナの しょうぞう も，こうかいされる。
$0013|かていきょうし もとみ。 10さいの しょうじょの あいて ライゲ－ト リチャ－タ·レべルてい。
$0014|あかげ れんめいは かいさん しました。
$0015|ほう，おもしろそうな きじが でている。
$0016|おちゃは いつもの タ－ジリンで いいんですよね。
$0017|そうそう，しんぶんが とどいて いますよ。
$0018|おいおい，どこへ いくんだい?
$0019|そうじは ハタスンさんに まかせて おこうよ。
$001A|そんなもの もっていって なんに つかうんだね?
$001B|よし バイオリンを もっていこう。
$001C|よし ステッキを もっていこう。
$001D|よし しんぶんを もっていこう。
$001E|よし おかねを もっていこう。
$001F|よし ふえを もっていこう。
$0020|よし パイプを もっていこう。
$0021|よし ホネを もっていこう。
$0022|よし ランプを もっていこう。
$0023|それは，もっていかれない。
$0024|じゃあ，これは，みせるために つかうんだね?
$0025|えっ! なんてね。 おもしろくなかったですか?
$0026|あそこにいるひとが クレイさんですよ。
$0027|わたしも てんらんかいを たのしみに しているんですよ。
$0028|ホ－ムズさんですか? おまちしてました。
$0029|てんいんが えを そうこから はこんでいる あいだに ぬすまれて しまったのです。 [WAIT]あのえが ないと てんらんかいも だいなし です。 なるべく はやく とりもどして ください。
$002A|どうです? なにか かいませんか。
$002B|いつも，しょうぞうがを たのんだ ひとの ところで えを かいている らしいです。
$002C|なにか ごようですか?
$002D|だれかに うしろから なぐられて もっていた えを とられたのです そういえば，エバンスに どことなくにてたけど···
$002E|どうです?なにか かいませんか?
$002F|はなし したこと ないんで···
$0030|ぶじに えを とりもどして くれて ほんとうに ありがとうございました。
$0031|おかげさまで てんらんかいも だいせいこうでした。
$0032|まったく ひとさわがせな ことを してくれたものだ。
$0033|[WAIT]えっ きょうはくじょう? ふ－ん。 えを きずつける とはねえ。
$0034|そうそう，とある かねもちが あの えを かっていきましたよ。 レ··とかいうひとです。
$0035|ひどい ひとですね。 ぼくを なぐるなんて。
$0036|こんにちは，ごめんください。
$0037|おや? るすのようだ
$0038|お－い だれか いませんかあ··· ···· ホ－ムズ! おんなの こえが かすかに きこえるよ···
$0039|タアに かぎが かかっている!
$003A|カギをあけるんだね。
$003B|おじょうさん おちゃ のみに いきませんか?
$003C|まっ ぶしつけな かた!
$003D|ラグランタだが。 なにかようかね。
$003E|なんどか うちに きたが あまり はなしは しなかったなあ。
$003F|わたしの えを みたんですか? けっこうよく かけてたでしょう。
$0040|「あかい ぼうしの しょうじょ」 は うつくしい えですねえ。
$0041|ああ，ストバ－トが つきあってた おんなの ことですね。 かのじょ あれでも けっこう にんきが あったらしいですね。
$0042|かれは，ストバ－トはくしゃくの ちをひく きぞくです。 しかし，かれの おとうさんが， [WAIT]じぎょうに しっぱいして ふるくから つたわる やかたも てばなしてからは， すっかり おちぶれて しまった。
$0043|そうそう，ブレンタは かねもちと けっこん したんですってね。 [WAIT]あれから ストバ－トを みないけど， いまでも ロンタンの きたに すんでいるのかなあ。
$0044|ロレッタ! よかった! もう だいじょうぶだよ。
$0045|わたし，ねみりぐすりを かがされて··· きが ついたら この いえに，とじこめられて···
$0046|あとは いよいよ はんにんを つかまえるだけだね! もちろん ロレッタも つれて いこう。
$0047|わたし，なにも わからない···
$0048|はやく いえに かえりたいわ···
$0049|てがかりらしい ものは なにも みつからない。
$004A|カトリ－ナよ。 ごきげんいかが?
$004B|エバンスに，あいたいの? たぶん，おとうとの フィリップが しってるんじゃ ないかしら?
$004C|わたくしの ばあい モタルが よかったのね。 うふふ···
$004D|わたしの えが てんらんかいに でたら，また ファンが ふえちゃうわっ きゃっ
$004E|フィリップです。
$004F|このまえも あにの じゅうしょを ききに きた おとこが いたなあ あにに，くちどめ されてるから おしえるわけには いかないね。
$0050|ぼくが しゃべったことは ないしょですよ。
$0051|おれも えを かこうかな。 もうかるもんな。
